Molecule ChEMBL ID,Smiles,Standard Value,pIC50,Mol,MolWt,LogP,HDonors,HAcceptors
CHEMBL1397,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,8400.0,5.075720713938118,<rdkit.Chem.rdchem.Mol object at 0x000002235CD49EE0>,700.7910000000002,4.573200000000004,1,9
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,3.0,8.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x000002235CD49F50>,232.28299999999996,1.3532,2,3
CHEMBL289116,CCC1(c2ccncc2)CCC(=O)NC1=O,1100.0,5.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x000002235CD49FC0>,218.25599999999994,1.166,1,3
CHEMBL353068,c1ccc2c(c1)CCC1C(c3cc[nH]n3)C21,0.36,9.443697499232712,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A030>,210.28000000000003,2.8531000000000004,1,1
CHEMBL275594,CCCC1(c2ccncc2)CCC(=O)NC1=O,6000.0,5.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A0A0>,232.28299999999996,1.5560999999999998,1,3
CHEMBL168444,O=C1c2ccccc2CCC1C(O)c1ccncn1,27000.0,4.568636235841013,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A110>,254.28900000000002,1.9552999999999998,1,4
CHEMBL223452,N#Cc1ccc(C(c2ccc(C#N)cc2)c2cncnc2)cc1,288.4,6.540004743952609,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A180>,296.33299999999997,3.4001600000000014,0,4
CHEMBL375043,N#Cc1ccc(Cn2ccnc2)c2ccccc12,10.96,7.96018944585165,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A1F0>,233.27400000000003,2.9562800000000014,0,2
CHEMBL31760,C=C(c1ccc(C#N)cc1)n1ccnc1,4.169,8.379968104873702,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A260>,195.225,2.2737799999999995,0,2
CHEMBL350922,O=c1c2ccccc2oc2cc(Cn3ccnc3)ccc12,389.05,6.409994580348671,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A2D0>,276.295,3.1910000000000007,0,3
CHEMBL223607,O=c1ccoc2cc(Cn3cncn3)ccc12,3715.35,5.430000267796054,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A340>,227.223,1.4327999999999999,0,4
CHEMBL25695,CCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,390.0,6.4089353929735005,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A3B0>,328.4960000000001,5.113600000000005,0,2
CHEMBL2443359,O[C@@H](c1ccc(F)cc1)[C@H](Cn1ccnn1)c1ccccc1,200.0,6.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A420>,297.333,2.9346000000000005,1,3
CHEMBL493174,COc1ccc(OC)c2c(C)cc(=O)[nH]c12,26800.0,4.5718652059712115,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A490>,219.23999999999998,1.8537199999999998,1,3
CHEMBL492762,COc1cc(=O)n(C)c2c3c(ccc12)OCO3,3920.0,5.406713932979542,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A500>,233.22299999999998,1.2757999999999998,0,4
