"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1397";"POSACONAZOLE";"4.0";"700.79";"2";"4.57";"Posaconazole";"CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O";"IC50";"'='";"8400.0";"nM";"5.08";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4056603";"Inhibition of CYP19 in human hepatocyte microsomes using testosterone substrate by HPLC/MS/MS method";"A";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"Microsomes";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052712";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";"";"8.4"
"CHEMBL488";"AMINOGLUTETHIMIDE";"4.0";"232.28";"0";"1.35";"AMINOGLUTETHIMIDE";"CCC1(c2ccc(N)cc2)CCC(=O)NC1=O";"Ratio";"";"3.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL845648";"Ratio of androstenedione-Ki to testosterone-Ki for human placental cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123885";"1";"Scientific Literature";"J Med Chem";"1987";"None";"";"";"";"3.0"
"CHEMBL289116";"ROGLETIMIDE";"2.0";"218.26";"0";"1.17";"5";"CCC1(c2ccncc2)CCC(=O)NC1=O";"Ki";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"27.30";"0.51";"4.79";"10.09";"0";"CHEMBL666405";"Inhibitory constant (Ki) for Cytochrome P450 19A1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123108";"1";"Scientific Literature";"J Med Chem";"1985";"None";"";"";"";"1.1"
"CHEMBL353068";"";"None";"210.28";"0";"2.85";"23";"c1ccc2c(c1)CCC1C(c3cc[nH]n3)C21";"Relative potency";"'='";"0.36";"";"";"";"";"";"";"";"";"";"0";"CHEMBL662268";"Potency relative to aminoglutethimide against Cytochrome P450 19A1.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129578";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";"0.36"
"CHEMBL275594";"";"None";"232.28";"0";"1.56";"7";"CCCC1(c2ccncc2)CCC(=O)NC1=O";"IC50";"'='";"6000.0";"nM";"5.22";"";"";"UO_0000065";"22.48";"0.42";"3.66";"8.84";"0";"CHEMBL666799";"Inhibitory activity against human placental cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123885";"1";"Scientific Literature";"J Med Chem";"1987";"None";"";"";"";"6.0"
"CHEMBL168444";"";"None";"254.29";"0";"1.96";"8";"O=C1c2ccccc2CCC1C(O)c1ccncn1";"IC50";"'='";"27000.0";"nM";"4.57";"";"";"UO_0000065";"17.97";"0.33";"2.61";"7.24";"0";"CHEMBL666792";"In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129578";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";"27.0"
"CHEMBL223452";"";"None";"296.33";"0";"3.40";"T42";"N#Cc1ccc(C(c2ccc(C#N)cc2)c2cncnc2)cc1";"IC50";"'='";"288.4";"nM";"6.54";"";"";"UO_0000065";"22.07";"0.39";"3.14";"8.91";"0";"CHEMBL915480";"Inhibition of human placental microsome CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139479";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"6.54"
"CHEMBL375043";"";"None";"233.27";"0";"2.96";"T29";"N#Cc1ccc(Cn2ccnc2)c2ccccc12";"IC50";"'='";"10.96";"nM";"7.96";"";"";"UO_0000065";"34.12";"0.60";"5.00";"19.13";"0";"CHEMBL915480";"Inhibition of human placental microsome CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139479";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"7.96"
"CHEMBL31760";"";"None";"195.22";"0";"2.27";"T24";"C=C(c1ccc(C#N)cc1)n1ccnc1";"IC50";"'='";"4.169";"nM";"8.38";"";"";"UO_0000065";"42.93";"0.76";"6.11";"20.14";"0";"CHEMBL915480";"Inhibition of human placental microsome CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139479";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"8.38"
"CHEMBL350922";"";"None";"276.30";"0";"3.19";"T22";"O=c1c2ccccc2oc2cc(Cn3ccnc3)ccc12";"IC50";"'='";"389.05";"nM";"6.41";"";"";"UO_0000065";"23.20";"0.42";"3.22";"13.35";"1";"CHEMBL915480";"Inhibition of human placental microsome CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139479";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"6.41"
